"URL","Title","Description","Region"
"https://www.techinasia.com/talk/im-layak-singh-ceo-at-cogxio-real-time-online-dating-app-ama/","I'm Layak Singh, CEO at COGXIO. AMA!","I'm Layak Singh (@lsvimal), CEO at COGXIO.COM (we pivoted from dateIITians.com), alumni from IIT Kharagpur, and a long-time reader of Tech in Asia. I have been working in this sector for the last 3 years and have good knowledge in this sector. Prior to&nbsp;...","World wide"
"http://www.bgr.in/news/indian-dating-app-finds-the-right-girl-for-housing-coms-sacked-ceo-rahul-yadav/","Indian dating app finds the right girl for Housing.com's sacked CEO Rahul Yadav","After former CEO of Housing.com posted on Facebook that he is looking for a girlfriend, thousands of hilarious comments ensued. Taking it a notch further is Indian dating app Cogxio, has apparently launched a dedicated website that shows off just the ...","World wide"
"http://economictimes.indiatimes.com/small-biz/south/cogxio-koramangala-startup-brings-love-for-geeks/articleshow/42517479.cms","Cogxio: Koramangala startup brings love for geeks","Koramangala-headquartered startup Cogxio (earlier known as dateII Tian.com), seems to ride on the dating wave in India with a tweak focused on II Tians or techies. Cogxio is an online dating platform aiming to bring some breeze in geeky/techies/online&nbsp;...","World wide"
"http://www.newindianexpress.com/education/edex/In-the-Business-of-Matchmaking/2014/08/25/article2393194.ece","In the Business of Matchmaking","There are 30,000-plus flirts, over 10,000 crushes and more than 5,000 proposals on Cogxio.com. Established in 2012 as DateIITians.com, the online dating portal has pivoted its business model from catering to only IITians to helping people romance ...","World wide"
"http://techcrunch.com/2015/07/14/most-uk-apple-pay-retailers-cap-at-20-but-pret-and-bills-show-transactions-can-be-limitless/","Most UK Apple Pay Retailers Cap At 20, But Pret And Bill's Show Transactions ...","Apple Pay officially arrived in the UK earlier today, and with it, we're now getting more details on how the mobile payment service will work. Most of the 250,000 physical locations that will accept Apple's contactless payment service will work with a ...","World wide"
"http://techcrunch.com/2015/07/02/harvard-reveals-it-had-an-it-breach-in-june-impacting-8-colleges-and-administrations/","Harvard Reveals It Had An IT Breach In June Impacting 8 Colleges And ...","A seventeenth-century university has become the victim of a twenty-first-century crime. Harvard University on Wednesday announced that on June 19, it discovered a breach in the IT systems of its Faculty of Arts and Sciences and Central Administration,&nbsp;...","World wide"
"http://techcrunch.com/2015/06/09/tinder-goes-through-a-small-round-of-layoffs/","Tinder Goes Through A Small Round Of Layoffs","Tinder  one of the most popular dating apps currently available across the globe  laid off around 10 percent of its staff last week. TechCrunch has learned and confirmed that the company laid off six members of the 60-65 member team, including ...","World wide"
"http://techcrunch.com/2015/05/01/tinder-sees-huge-jump-in-app-revenue-rankings-courtesy-of-tinder-plus/","Tinder Sees Huge Jump In App Revenue Rankings, Courtesy Of Tinder Plus","Dating app Tinder's move into the subscription business seems to be paying off. According to remarks made by parent company IAC during its quarterly earnings reported this week, the company is pleased with Tinder's penetration rates  it reached its ...","World wide"
"http://yourstory.com/2015/07/icrushiflush-funding/","IDG Ventures 'crushes' on dating app iCrushiFlush, invests in pre-series A ...","Dating and networking apps are finding acceptance among the Indian youth. For long-term commitments and marriages, Indians have long been utilizing matrimonial portals. But now, many are signing up on dating platforms to look for casual relationships&nbsp;...","World wide"
"http://yourstory.com/2015/08/app-fridays-aisle/","[App Fridays] How Aisle balances traditional marriage values and modern dating ...","While matrimonial portals have been around for a while in India for people looking for serious relationships, dating apps have picked up among the youth who are interested in something more casual. Then there is a certain demographic in the age group ...","World wide"
