"URL","Title","Description","Region"
"http://www.businessinsider.com/hackerrank-hires-google-code-jam-ahmed-aly-2015-9","Google lost one of its top employees to a startup that's like Fight Club for ...","Ahmed Aly, a highly sought-after software engineer who spent three years at Google working on its search algorithim and organizing the Code Jam contest, just jumped ship to work at HackerRank  a startup which hosts programming contests for over one&nbsp;...","World wide"
"http://www.programmableweb.com/news/daily-api-roundup-hackerrank-xamarin-jquery-mbx-systems-glidera/brief/2015/08/17","Daily API RoundUp: HackerRank, Xamarin, jQuery, MBX Systems, Glidera","HackerRank provides a programming test platform and scoring system for schools and workplaces. They offer coding challenges for 30 programming languages, a developer community, and also tech job listings. Available in JSON format with an API key, the&nbsp;...","World wide"
"http://gadgets.ndtv.com/internet/features/how-competitive-coding-platforms-are-changing-the-tech-hiring-landscape-732965","How Competitive Coding Platforms Are Changing the Tech Hiring Landscape","Competitive coding platforms like HackerEarth and HackerRank aim to help HR managers in the hiring process, while providing a platform for programmers across the world to evaluate and objectively rank their skills. To find out more about how the tech&nbsp;...","World wide"
"http://www.xconomy.com/san-francisco/2015/07/14/tech-hiring-matchmaker-hackerrank-draws-7-5m-from-global-hr-firm/","Tech Hiring Matchmaker HackerRank Draws $7.5M From Global HR Firm","HackerRank, which hosts online competitions that help programmers flaunt their skills to potential employers like Amazon and Quora, said today it has landed a $7.5 million investment from the funding arm of Japan-based human resources giant Recruit.","World wide"
"http://yourstory.com/2015/04/techie-tuesdays-harishankaran-hackerrank-hari/","[Techie Tuesdays] Bringing out the best in developers with HackerRank ...","Hari, as he is fondly known, is the co-founder of HackerRank (previously known as InterviewStreet), and heads its India office. Born and brought up in Chennai, Hari neither had the interest, nor the intention, of taking up computer science for higher ...","World wide"
"http://www.cnbc.com/2015/05/12/resumes-a-thing-of-the-past-hackerrank-hopes-so.html","Resumes a thing of the past? HackerRank hopes so","HackerRank gives companies a platform to create tests, or challenges, for specific roles. Ravisankar said that way, a candidate is being judged by his skill, not necessarily his resume. For example, someone who used to work at a nail salon is now ...","World wide"
"http://www.businessinsider.com/hackerrank-oracle-taleo-greenhouse-jobvite-technical-interviews-2015-4","A former Amazon engineer's startup wants to fix the worst thing about tech job ...","It's a pretty simple idea, but it was profound enough to get HackerRank into the prestigious Y Combinator startup accelerator program. Today, one million developers use it to compete in challenges and gauge their own skills, HackerRank claims, while ...","World wide"
"http://thenextweb.com/dd/2015/08/21/new-york-city-get-ready-to-hack-the-tnw-usa-hack-battle-is-back/","New York City, get ready to hack. The TNW USA Hack Battle is back!","This year, we're happy to be co-hosting our USA Hack Battle with HackerRank, the world's fastest growing developer platform. The world's biggest tech companies hold their eyes glued to their leaderboards, often offering top developers job opportunities.","World wide"
"http://techcrunch.com/2015/07/14/hacherranks-gets-7-5m-investment-from-recruit-launches-new-screening-tool-for-data-scientists-and-database-engineers/","HackerRank Gets $7.5M Investment From Recruit, Launches New Screening Tool For ...","Disrupt Battlefield alum HackerRank today announced that it has received a $7.5 million strategic investment from Recruit Holdings' HR Technology Fund for its hiring platform today. Recruit Holdings isn't exactly a household name in the investment ...","World wide"
"http://www.siliconhillsnews.com/2015/02/25/hackerrank-event-explores-latest-stem-recruiting-strategies/","HackerRank Event Explores Latest STEM Recruiting Strategies","HackerRank representatives talked about their platform that replaces job fairs with hackathons and code sprints. And Whole Foods' Global Talent Recruiter Andres Traslavina gave a keynote about connecting with work that reflects your life's purpose. But ...","World wide"
