"URL","Title","Description","Region"
"http://www.leggo.it/NEWS/ESTERI/foto_facebook_sex_toy/notizie/1544783.shtml","Scattano una foto e la postano su Facebook, ma un particolare hot la rende virale","Postano una foto sul social e in breve tempo diventa virale. Due ragazze hanno visto condividere decine di volte la loro foto che ha registrato circa un milione di visualizzazioni su Igmur. DISATTIVA SLIDESHOW. 1di 1. Lo scatto delle ragazze con il sex ...","World wide"
"http://www.leggo.it/NEWS/ITALIA/stupro_americana_riccardo_capece_francesco_franchini/notizie/1531782.shtml","Stuprano turista americana, il giorno dopo postano un selfie su Fb. Arrestati due giovani","Violentano una donna per due volte poi postano un selfie su Facebook spensierati. Riccardo Capece, 20 anni, studente universitario, e Francesco Franchini, 22 anni, ex calciatore di serie D, arrestati ieri per aver stuprato una turista americana dopo ...","World wide"
"http://www.gonews.it/2015/08/27/camaiore-svaligiato-un-ottico-i-titolari-postano-su-facebook-il-film-del-furto/","Svaligiato un ottico, i titolari postano su facebook il film del furto","Un negozio di ottica viene svaligiato di merce per 35.000 euro e i proprietari mettono su Facebook il filmato del furto dove si vedono i ladri in azione. Tre i malviventi ripresi dalle telecamere a circuito chiuso del negozio Centro Visione a Camaiore ...","World wide"
"http://www.adweek.com/socialtimes/nfl-teams-bring-more-excitement-to-fans-with-in-game-social-experiences/626531","NFL Teams Bring More Excitement to Fans With In-Game Social Experiences","In cities all over the U.S. this Sunday, football fans will relax on the couch, on the tailgate chair or in their stadium seat to watch their favorite NFL team. For all of these fans, NFL teams are turning to social media to get them engaged ...","World wide"
"http://www.caffeinamagazine.it/italia/22165-postano-questo-selfie-mentre-fanno-il-segno-della-vittoria-e-si-scatena-l-inferno-ecco-di-cosa-si-vantano-questi-ragazzi","Postano questo selfie mentre fanno il segno della vittoria e si scatena l'inferno. Ecco di cosa si vantano questi ragazzi","Prima lo stupro, poi il selfie. Hanno violentato una turista americana nel bagno di una discoteca a Sorrento, poi si sono scattati una bella foto ricorso. Questa l'accusa nei confronti di Riccardo Capece, 20 anni, e Francesco Franchini, 22 anni ed ex ...","World wide"
"http://www.adweek.com/socialtimes/one-way-to-make-social-engagement-more-fun-gamification/625492","One Way to Make Social Engagement More Fun: Gamification","Postano works with brands such as Oreo, Popchips and Nike, as well as colleges and sports teams including the University of Oregon and the Dallas Cowboys to present social media in a fun way that generates honest engagement. Postano president Justin&nbsp;...","World wide"
"http://www.mediapost.com/publications/article/254246/postano-integrates-periscope-for-livestreaming-eve.html","Postano Integrates Periscope for Livestreaming Events","Postano, a platform that curates and publicizes social media content from participants and fans throughout public events including professional sports games, has integrated Periscope to enable livestreaming from users' mobile devices, the company&nbsp;...","World wide"
"http://www.prnewswire.com/news-releases/tigerlogic-releases-powerful-ugc-visualization-options-with-postano-28-300077505.html","TigerLogic Releases Powerful UGC Visualization Options with Postano 2.8","PORTLAND, Ore., May 5, 2015 /PRNewswire/ -- TigerLogic Corporation (Nasdaq: TIGR), a leading provider of solutions that help brands elevate social media engagement, today announced Postano 2.8, a significant advancement to its Postano visual&nbsp;...","World wide"
"http://www.prnewswire.com/news-releases/tigerlogic-launches-innovative-postano-command-center-platform-300029757.html","TigerLogic Launches Innovative Postano Command Center Platform","With the Postano Command Center's patent pending technology, executive and marketing teams have the ability to view and evaluate large quantities of user-generated content in real-time by engaging with immersive screens that display activity across&nbsp;...","World wide"
"http://www.prnewswire.com/news-releases/tigerlogic-launches-postano-platform-27-300039097.html","TigerLogic Launches Postano Platform 2.7","PORTLAND, Ore., Feb. 20, 2015 /PRNewswire/ -- TigerLogic Corporation (Nasdaq: TIGR), a leading provider of solutions that help companies improve social media engagement by unlocking the power of data, today announced Postano 2.7, a significant&nbsp;...","World wide"
"http://sportsagentblog.com/2015/02/18/six-questions-with-justin-garrity-president-of-postano-and-brian-cheek-business-development-manager-for-sports-at-postano/","Six Questions With Justin Garrity, President Of Postano, And Brian Cheek ...","Justin Garrity is the President of TigerLogic whose product, Postano, is on the cutting edge of integrating social media and sports. Brian Cheek is the Business Development Manager for Sports at Postano. Postano is currently working with some of the ...","World wide"
"http://www.prnewswire.com/news-releases/tigerlogics-postano-selected-to-power-social-visualizations-for-the-2015-college-football-playoff-national-championship-game-300008455.html","TigerLogic's Postano Selected To Power Social Visualizations For The 2015 ...","By partnering with Postano, content from social media platforms will be integrated throughout every component of the College Football Playoff weekend. There will be a total of 10 visualizations created for a series of events, and a 'Social War ...","World wide"
"http://www.prnewswire.com/news-releases/tigerlogic-launches-postano-platform-26-300000635.html","TigerLogic Launches Postano Platform 2.6","PORTLAND, Ore., Nov. 24, 2014 /PRNewswire/ -- TigerLogic Corporation (Nasdaq: TIGR), a leading provider of solutions that help companies improve social media engagement by unlocking the power of data, today announced Postano 2.6, a significant&nbsp;...","World wide"
"http://www.prnewswire.com/news-releases/tigerlogics-postano-platform-and-fish-technologies-announce-first-of-its-kind-partnership-for-event-industry-281463351.html","TigerLogic's Postano Platform and FISH Technologies Announce First-of-its ...","LAS VEGAS, Nov. 4, 2014 /PRNewswire/ -- Today at EventTech, TigerLogic Corporation (Nasdaq: TIGR) announced an exclusive partnership between its flagship product Postano, a leading social visualization platform for events, sports, fashion and retail,&nbsp;...","World wide"
"http://www.examiner.com/article/a-look-at-social-media-and-the-2016-presidential-campaign","A look at social media and the 2016 Presidential campaign","Postano, a social visualization company that works with Fortune 500 companies is offering insight on how social media is being used leading up to the 2016 Presidential election. There is no overall 'best' platform for political campaigns, each platform ...","World wide"
"http://www.gossipetv.com/nina-dobrev-carriera-bloccata-ian-somerhalder-pronto-al-grande-salto-189402","Nina Dobrev carriera bloccata, Ian Somerhalder pronto al grande salto","A confermarlo i numerosi scatti che i due postano sui social anche se, al di l di quei sorrisi, non  dato sapere di pi, vista la rinomata riservatezza di Nina. L'ex fidanzato Ian Somerhalder, invece,  un marito felice accanto a Nikki Reed, sposata ...","World wide"
"http://www.digitalsignageconnection.com/tigerlogic-releases-socially-powered-digital-signage-app-google-chromebox-426","TigerLogic Releases Socially Powered Digital Signage App For Google Chromebox","TigerLogic Corp., a provider of solutions that help companies amplify fan engagement by unlocking the power of social data, has announced Postano Kiosk, an application for the Google Chrome web store designed for integrating user-generated content into&nbsp;...","World wide"
"http://it.blastingnews.com/tv-gossip/2015/09/uomini-e-donne-alessia-si-sfoga-duramente-su-facebook-problemi-per-amedeo-00557659.html","Uomini e Donne: Alessia si sfoga duramente su Facebook, problemi per Amedeo","Oggi ci occupiamo di Alessia Messina e di Amedeo Andreozzi, che proprio non hanno la minima intenzione di provare a ricomporre i pezzi, nonostante gli incoraggiamenti dei fan che ogni giorno postano messaggi affettuosi ai due ragazzi. Cosa  successo&nbsp;...","World wide"
"http://www.prnewswire.com/news-releases/postano-releases-new-social-monitoring-and-performance-analytics-that-measure-hashtag-and-visual-web-marketing-campaigns-248748271.html","Postano Releases New Social Monitoring And Performance Analytics That Measure ...","With Postano's new social monitoring capabilities, marketers can easily and efficiently monitor their social channels for new trends, visualize fan engagement metrics, and track the performance of hashtag campaigns and social networks, as part of its ...","World wide"
"http://www.daringtodo.com/lang/it/2015/09/14/beautiful-news-steffy-caroline-e-ivy-forrester-3-grandi-amiche-che-si-divertono-insieme-foto/","Beautiful news  Steffy, Caroline e Ivy Forrester, 3 grandi amiche che si divertono insieme  FOTO","Eppure, nella vita reale lontana dalle luci e dal set, Jacqueline Maciness Wood, Linsey Godfrey e Ashleigh Brewer sono legatissime tra loro come testimoniano i numerosi scatti che le tre bellissime donne postano sui profili social, in particolare ...","World wide"
