"URL","Title","Description","Region"
"http://www.huffingtonpost.com/paul-spector-md/point-and-shoot-the-antis_b_8125224.html","Point and Shoot: The Antisocial Media","Similarly, in medieval times there was no self apart from the social rank and role assigned by God as birth rite. Family and gender defined destiny. The son of a blacksmith would be a blacksmith. It was unthinkable that he would aspire to anything else.","World wide"
"http://www.deccanherald.com/content/500949/hyenas-their-own-facebook-algorithm.html","Hyenas and their own Facebook algorithm ability","Scientists remark that although there are other factors such as sex, the social rank and environment effects like amount of rainfall that influence their social structure, the triadic closure is the most important. In hyenas, female members are ...","World wide"
"http://allafrica.com/stories/201509141928.html","Afrikaans Must Not Fall","Binding together government and citizen within one public legal order disregards ethnic differences, racial differences, religious differences, language differences, differences in economic position and social rank, family differences and differences ...","World wide"
"http://www.fastcompany.com/3045199/tech-forecast/most-valuable-followers-how-socialrank-wants-your-brand-to-get-closer-to-its-a","Most Valuable Followers: How SocialRank Wants Your Brand To Get Closer To Its ...","Your Internet megaphone calls out to everyonebut you have no idea who you are talking to. Sure, you could inspect your followers' Twitter bios by hand, or even take a sample size and extrapolate. But this is the age of Big Data. All the information ...","World wide"
"http://www.broadwayworld.com/chicago/article/Savoyaires-Present-Gilbert-Sullivans-HMS-PINAFORE-20150912","Savoyaires Present Gilbert &amp; Sullivan's H.M.S. PINAFORE","A hilarious satire of society's perennial obsessions with class divisions and social rank, H.M.S Pinafore is subtitled The Lass That Loved a Sailor. The lass -- Josephine, daughter of the high-born captain of the H.M.S. Pinafore -- is engaged to ...","World wide"
"http://techcrunch.com/2015/01/13/socialrank-index/","The SocialRank Index Shows Companies How They Stack Up On Social Media","Social media analytics startup SocialRank released a new tool earlier today called the SocialRank Index  aimed at tracking and aggregating the performance of the biggest brands in the world. This seems like a natural evolution of SocialRank, which ...","World wide"
"http://www.billboard.com/articles/business/6495121/socialrank-data-metrics-startup-launches-snapshot-music-index","SocialRank, Data Metrics Startup, Launches Snapshot Music Index","SocialRank, a relatively new social data metrics company that analyzes Twitter accounts to provide easily digestible insights into its followers and engagement rates, today launched its Music Index, inspired by the Billboard 200 albums chart. Using ...","World wide"
"http://www.livescience.com/52028-animal-sex-hyenas.html","Animal Sex: How Hyenas Do It","Since males can only gain in rank after a higher-ranking male dies (they do not fight for rank), females may use their social rank as a kind of index for persistence and fitness, Gunther said. Mating among spotted hyenas doesn't coincide with specific ...","World wide"
"http://www.businessinsider.com/socialrank-index-proves-tech-media-rules-twitter-2015-1","Here's Proof That Tech Media Rules Twitter","Last week, social analytics company SocialRank released a Global Brands Index that charts the success of major corporate brands on Twitter. The index displays engagement data, competitor tracking, and calculates the quality of a brand's followers.","World wide"
"https://student.societyforscience.org/article/top-rooster-announces-dawn","Top rooster announces the dawn","social order or social rank The system of values, practices, institutions and rules that guide the behaviors of an integrated group of people or animals. subordinate Someone or something that is lower in rank, based on power, importance, value or some ...","World wide"
"http://foreignpolicy.com/2015/08/20/10-best-books-about-how-the-plains-indians-adapted-their-mode-of-warfare-2/","10 best books about how the Plains Indians adapted their mode of warfare","Mishkin focused on the Kiowa, showing how the horse altered social rank and warfare. Colin G. Calloway, One Vast Winter Count: The Native American West before Lewis and Clark (Nebraska, 2003). I am a 'big picture' guy when it comes to history; for me ...","World wide"
"http://www.huffingtonpost.com/loren-ridinger/instagram-marketing-in-20_b_7991118.html","Instagram Marketing in 2016 -- 10 Tools for Instagram You Need Now!","Social Rank is another Instagram analytics platform worth investigating. Find details on your followers based upon their location or their engagement rate. Sort followers according to activities they're interested in or whether they have a verified ...","World wide"
"http://www.bustle.com/articles/107702-honest-puberty-video-from-the-huffington-post-nails-what-you-thought-puberty-would-be-like-versus","Honest Puberty Video From The Huffington Post Nails What You Thought Puberty ...","Hello, tweens and ex-tweens! Since the moment your mom gave you a book about your changing body in lieu of actually telling you how to pronounce menstruation, you probably had a weird idea about what to expect from puberty. You might have put the&nbsp;...","World wide"
"http://pressnetwork.de/tag/social-rank/","Social Rank .","bildet die Position einer gewhlten Domain in der Rangfolge aller Domains gemessen an Signalen aus sozialen Netzwerken fr das entsprechende Land ab. Hat zum Beispiel eine Domain einen Social Rank von 2, bedeutet dies, dass die Domain im&nbsp;...","World wide"
"http://www.bustle.com/articles/95139-5-crazy-ancient-shoe-trends-that-wont-be-inspiring-your-style-anytime-soon","5 Crazy Ancient Shoe Trends That Won't Be Inspiring Your Style Anytime Soon","Today, our shoe choices are as endless as they are (sometimes) practical, but throughout history we've had to keep our toes covered based on social rank and available materials. While we often turn to the past for fashion inspiration (looking at you ...","World wide"
"http://thenextweb.com/twitter/2015/01/22/social-ranks-tech-startup-index-reveals-social-secrets-worlds-valuable-startups/","SocialRank's Tech Startup Index reveals the social secrets of the world's most ...","The latest index tracks 86 companies. It's based on a list of the world's most valuable startups published by Fred Wilson, Willaim Mougayar and the Wall Street Journal. SocialRank filtered the index based on three criteria to include privately-owned ...","World wide"
"http://www.patheos.com/blogs/christiancrier/2015/08/21/what-is-a-concubine-why-was-this-allowed-in-the-old-testament/","What Is A Concubine? Why Was This Allowed In The Old Testament?","The reasons can greatly vary like the person's religious beliefs, they are already married, a social rank status that prohibits their marrying, or even a recognition by others that restricts their marrying. Concubines typically had no rights, even with ...","World wide"
"https://nowtoronto.com/stage/theatre/review-pygmalion/","Review: Pygmalion","In this modern London, the haves and have-nots are as sharply divided as in Shaw's original tale written a century ago, though now they're as much distinguished by race as by social rank. A BBC video during the first scene change, in fact, discusses ...","World wide"
"http://thesheridanpress.com/?p=40879","Celebrate women who serve","Some will argue that men compete in front of women to gain affection or social rank, which could lead to unnecessary risks being taken by soldiers. There will be others who argue that integrating women into the combat ranks will only lead to increases ...","World wide"
"http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=3008856&amp;cloc=etc%7Cjad%7Cgooglenews","A long way to go","About 84 percent of the rich with assets of more than 1 trillion won inherited their good fortune compared with 33 percent among Americans and 12 percent among Japanese, suggesting this country is where riches and social rank are exclusive to a ...","World wide"
"http://www.livemint.com/Companies/Vd0jQszgCUQ7sErG3PHp7H/Unethical-behaviour-of-senior-staff-tells-on-groups-image.html","Unethical behaviour of senior staff tells on group's image","... professor of organizational behaviour and psychology, and graduate research student Takuya Sawaoka, highlight how the social rank of someone who commits moral transgressions affects associated individuals, and they term this the moral spillover effect.","World wide"
"http://thenextweb.com/socialmedia/2015/02/25/socialrank-is-launching-instagram-follower-analytics-and-you-can-get-early-access/","SocialRank is launching Instagram follower analytics and you can get early access","Alex Taub, SocialRank's co-founder, told us the company's aim is become the Hootsuite or Buffer for followers and that it will roll out more tools for understanding your audience on a range of other social sites soon. You can find out more about the ...","World wide"
"http://thenextweb.com/insider/2014/02/25/modern-mast-launches-socialrank-help-find-valuable-engaged-best-twitter-followers/","SocialRank Helps Find Brands' Best Twitter Follower","The idea behind SocialRank started long before Taub and Schonfeld joined Dwolla. Back then, they had developed a service called Most Valuable Follower (MVF) aimed at helping show which follower actually gives legitimate value to a brand's social media&nbsp;...","World wide"
"http://tech.co/socialrank-2-0-launches-simple-free-platform-brands-learn-manage-followers-2014-07","SocialRank 2.0 Launches as a Simple, Free Platform for Brands to Learn About ...","First launched in February of this year, SocialRank  a simple (and free) tool that allows brands to learn who their most valuable followers are  announced today that it has launched SocialRank 2.0, a more comprehensive version of its initial product.","World wide"
"http://www.hollywoodreporter.com/news/media-investors-back-twitter-analytics-703529","Media Investors Back Twitter Analytics Startup SocialRank","Twitter analytics startup SocialRank is getting the support of some big media backers. The New York firm announced on its blog that it has raised more than $1 million in seed funding from investors that include Shari Redstone's Advancit Capital (which ...","World wide"
