"URL","Title","Description","Region"
"https://unicornbooty.com/photos-asexuals-confess-secrets-anonymously-on-whisper/","PHOTOS: Asexuals Confess Secrets Anonymously On 'Whisper'","Not too long ago, we shared some Whispers from Whisper.Sh about coming out. If you missed that one, Whisper's an app that is like an anonymous SnapChat with the world. This time, we thought we'd see what the secret-sharers at Whisper had to say on the&nbsp;...","World wide"
"http://ajr.org/2014/10/15/whisper-future-news/","The Not-So-Secret Side of Anonymous Confession Apps","Visit Whisper.sh or open the app on a phone and be prepared to be bombarded with a stream of angst, melancholy and flat out weirdness. The site encourages anonymous postings of inner thoughts and secrets. They often read like snippets of private phone&nbsp;...","World wide"
"http://www.businessinsider.com/whisper-ceo-tells-users-to-email-him-if-they-are-worried-about-being-tracked-2014-10","Whisper CEO Tells Users To Email Him If They Are Worried About Being Tracked","I encourage you to share your thoughts with me directly at michael@whisper.sh. Michael Heyward. Co-founder and CEO, Whisper. *The recent changes to our terms of use and privacy policy were not related to the Guardian's reporting. These changes were&nbsp;...","World wide"
"http://techcrunch.com/2013/09/04/whisper-21m-sequoia/","Secret-Sharing App Whisper Snags $21 Million From Sequoia, Adds Roelof Botha ...","Secret-sharing app Whisper has closed a new round of funding, bringing in $21 million at a $75 million to $100 million post money valuation. The round, as originally reported by Om Malik, was led by Sequoia Capital, with existing investor Lightspeed&nbsp;...","World wide"
"http://techcrunch.com/2015/04/29/whisper-hires-its-first-president/","After Passing 10 Million Monthly Active Users, Whisper Hires Its First President","Whisper announced today that it hired Mark Troughton to be its president. Troughton was the president of Green Dot, which specializes in prepaid debit cards and went public in July 2010. He was most recently the president of Americas for Wonga, which&nbsp;...","World wide"
"http://www.hotnews.ro/stiri-magazin-20404071-video-imaginile-selfie-trebuie-folosite-precautie.htm","VIDEO Imaginile selfie trebuie folosite cu precautie","In videoclipul de mai jos, produs de echipa buzzfeed.com si publicat pe contul de youtube BuzzFeedYellow, sunt prezentate confesiuni postate anonim pe site-ul whisper.sh, ce dezvaluie situatiile in care se regasesc diferite persoane in incercarea de a ...","World wide"
"http://www.buzzfeed.com/mathonan/the-whisper-campaign-that-torched-a-guardian-story","The Whisper Campaign That Torched A Guardian Story","whisper.sh. Yesterday, Guardian US was forced to print a doozy of a clarification and delete another article entirely. It came at a sensitive time for Guardian US Editor-in-Chief Katharine Viner, who took the top job at the newpaper's American ...","World wide"
"http://www.dailymail.co.uk/femail/article-3169257/I-liberating-Escorts-reveal-jobs-REALLY-like-anonymous-confessions-app-Secrets.html","Escorts reveal what their jobs are REALLY like on Whisper app","When it comes to undesirable careers, working as an escort is often considered to be of the most taboo occupations of them all. However, men and women from around the world have taken to an anonymous secret-sharing app to reveal that their job doesn't&nbsp;...","World wide"
"http://www.chicagonow.com/tween-us/2013/12/what-parents-need-to-know-whisper-app/","What parents need to know about the Whisper app","Whisper is a free social networking app available for iPhone and Android and website (found at Whisper.sh) that encourages users to share secrets. The app was originally intended and first became popular on college campuses, but like many trends, it ...","World wide"
"http://www.eonline.com/news/525636/the-strangest-and-most-shocking-sex-love-and-celeb-confessions-from-the-secret-sharing-whisper-app","The Strangest and Most Shocking Sex, Love and Celeb Confessions From the ...","Do you have a secret? There's an app for that. Whisper is an app you get on your phone (or you can peruse the website) and it's like PostSecret for the Tumblr age. Users can post confessions anonymously, but instead of funky postcards they use images ...","World wide"
"http://techcrunch.com/2014/05/19/whisper-v4/","Whisper Confirms $36M In New Funding, Adds Related Posts, Categories, And ...","Anonymous social-sharing startup Whisper has confirmed a new round of funding and is launching an updated version of its app that will make it easier for users to connect with others sharing similar thoughts and emotions. Whisper was one of the first ...","World wide"
"http://techcrunch.com/2015/01/29/secret-co-founder-chrys-bader-wechseler-steps-down-because-its-not-about-design-anymore/","Secret Co-Founder Chrys Bader-Wechseler Steps Down Because It's Not About ...","One year after founding anonymish app Secret with fellow Googler David Byttow, Chrys Bader-Wechseler is leaving the company on amicable terms. He cites that Secret isn't about design and curation as much now since it redesigned recently, dropping the&nbsp;...","World wide"
"http://www.timesfreepress.com/news/life/entertainment/story/2015/jan/04/expand-your-circle-your-guide-7-social-medisit/280527/","Expand your circle: Your guide to 7 social media sites trending with younger ...","One minute, you think you've got your life digitally sorted out and you're living on social media's cutting edge. You started your Facebook profile when you were fresh out of college and, as a Twitter veteran, you wield hashtags and mentions with&nbsp;...","World wide"
"http://techcrunch.com/2014/10/26/whisper-suspends-editorial-team-involved-in-guardian-visit/","Whisper Suspends Editorial Team Involved In Guardian Visit","Anonymous messaging app Whisper has suspended its editor-in-chief Neetzan Zimmerman and other staff members after Senate Commerce Committee Chairman Jay Rockefeller wrote a letter summoning Whisper execs to an in-person meeting to discuss&nbsp;...","World wide"
"http://www.buzzfeed.com/alanwhite/19-whisper-posts-that-show-how-divided-scotland-is-over-inde","These Whisper Posts Show How Divided Scotland Is Over Independence","1. The ferocity of the debate is visible, too, on Whisper. It seems some Scots can't bear to tell their peers how they'll be voting. whisper.sh. 2. And this is true whichever way they intend to vote. whisper.sh. 3. Indeed, many of these admissions have ...","World wide"
