"URL","Title","Description","Region"
"http://buzzworthy.blog.austin360.com/2015/06/11/minimalist-social-network-ello-is-launching-ios-version/","Minimalist social network Ello is launching iOS version","Ello is a social network that promises an ad-free experience and a minimalist design. Its website is at ello.co. Credit: ello.co. Remember when Ello was cool? It's ok, neither does anyone else. Take a minute to go dust off your profile though ...","World wide"
"http://www.komputerswiat.pl/nowosci/aplikacje/2015/24/elloco-z-wlasna-aplikacja-na-ios-juz-18-czerwca.aspx","ello.co z wasn aplikacj na iOS. Ju 18 czerwca","Ju 18 czerwca w sklepie App Store pojawi si oficjalna aplikacja ello.co na urzdzenia z iOS. Klient ma by uniwersalny, a wic pozwoli na korzystanie ze spoecznociwki na iPhone'ach oraz iPadach. Aplikacja bdzie bezpatna. Co natomiast z wersj na&nbsp;...","World wide"
"http://www.vermontbiz.com/news/april/elloco-releases-ello-beta-v2-secures-new-5-million-round-funding","Ello.co releases Ello Beta V.2, secures new $5 million round of funding","We're listening to our community and that's helping Ello grow rapidly from the inside out, said Ello Co-CPO Lucian Fohr. New features and mobile apps coming this spring will only add to people's ability to connect with others with similar interests ...","World wide"
"http://hereandnow.wbur.org/2014/10/03/ello-cofounder-budnitz","Ello Co-founder: No Ads, Ever","The new social network site Ello is described as the anti-Facebook because it pledges not to be ad-free. (Ello). If you're at all tuned into social media, you may have started seeing a whole lot of references to Ello popping up in the last couple ...","World wide"
"http://www.prnewswire.com/news-releases/elloco-lanza-ello-beta-v2-y-asegura-una-nueva-ronda-de-financiacion-dirigida-por-foundry-group--techstars-ventures-498473961.html","Ello.co lanza Ello Beta V.2 y asegura una nueva ronda de financiacin dirigida ...","BURLINGTON, Vermont, 2 de abril de 2015 /PRNewswire/ -- Ello, la revolucionaria red social soportada por la comunidad, anunci el lanzamiento de Ello Beta V2 hoy, y simultneamente complet una nueva ronda de financiacin de 5 millones de dlares&nbsp;...","World wide"
"http://www.cnet.com/how-to/what-is-ello-the-ad-free-social-network/","10 things to know about Ello, the ad-free social network","Like every other social network, you'll get your own profile page, which can be accessed via Ello.co/(your user name). By default, this is accessible by anyone, whether or not they have an Ello account. From your profile page, click the large circle to ...","World wide"
"http://www.digitaljournal.com/pr/2567501","Ello Declares June 1 as Ello Pride Day to Celebrate the LGBTQ Community","DENVER, CO--(Marketwired - May 28, 2015) - Ello, the beautiful &amp; ad-free social network, has officially declared June 1 Ello Pride Day in celebration of Gay Pride Month and in support of the LGBTQ community. On Ello, users are not required to ...","World wide"
"http://www.npr.org/sections/alltechconsidered/2014/10/01/352838479/ello-aims-for-a-return-to-ad-free-social-networking","'Ello' Aims For A Return To Ad-Free Social Networking","But the site is being tweaked and reworked in full view of a rapt online audience, and the founders are responding to complaints and requests as the site takes shape. Budnitz, Ello's co-founder, has a relatively calm attitude about the critiques. I'm ...","World wide"
"http://www.mtv.com/news/1957607/ello-versus-facebook/","Ello's Co-Founder Gives Us 11 Reasons Why You Should Ditch Facebook","Everyone's talking about Ello.co, the Internet's newest social network. I understand the excitement  Ello is a new, shiny thing to play with and people like new, shiny things. The site has some cool stuff to offer though, so hear me out before you ...","World wide"
"http://www.vice.com/read/people-are-still-using-ello-535","Ello: Is There Anybody Out There?","Last September, a website called Ello appeared, and very quickly, everyone got very excited. It was an ad-free social network that promised not to sell users' data and give them a clean, vaguely Scandinavian-looking layout. Anyone looking for a ...","World wide"
