"URL","Title","Description","Region"
"http://techcrunch.com/2015/06/08/in-new-york-and-la-new-startup-communities-flourish/","In New York And LA, New Startup Communities Flourish","The density of the population in New York allows it to be the home to social/location-based companies like Foursquare and PlaceIQ as well as building/space startups such as WeWork, BoxBee, and MakeSpace. Because LA is more spread out, and&nbsp;...","New York, New York cityNdx: 0"
"http://www.vancitybuzz.com/2015/06/inspiring-vancouver-startups-musefind-new-york-city/","Inspiring Vancouver Startups: Musefind team heads to New York City","Musefind, a local Vancouver startup that create an online platform for retail brands to connect with social media influencers on Instagram to endorse their products and grow sales, has been accepted as the first and only Canadian company to have been&nbsp;...","New York, New York cityNdx: 0"
"http://www.bizjournals.com/stlouis/blog/biznext/2015/05/st-louis-startup-moving-to-new-york.html","St. Louis startup moving to New York","Jolijt Tamanaha, a St. Louis entrepreneur, is moving to New York with her early stage startup, Champio. Champio was founded in mid-2014 as a platform in which a company's employees compete to share best practices for social media posts about the&nbsp;...","New York, New York cityNdx: 0"
"http://www.virtual-strategy.com/2015/06/05/new-york-based-startup-protestify-now-scopio","New York-Based Startup Protestify Is Now Scopio","NEW YORK, June 5, 2015 /PRNewswire/ -- After the launch of their beta site and a successful Kickstarter campaign, Scopio, formerly known as Protestify, entered the realm of breaking events this week in an attempt to connect social media-savvy users ...","New York, New York cityNdx: 0"
"http://www.latinpost.com/articles/59566/20150614/shakeup-at-twitter-as-ceo-costolo-leaves-facebooks-news-feed-reads-you-youtube-gaming-takes-on-twitch.htm","Shakeup At Twitter as CEO Costolo Leaves, Facebook's News Feed Reads You ...","This week in social media, Twitter's CEO Dick Costolo stepped down as the company faces a life-or-death transition into an uncertain future. Meanwhile, Facebook ... Within the company, employees are reportedly worried about a wide-sweeping shakeup ...","New York, New York cityNdx: 0"
"http://www.bizjournals.com/boston/blog/startups/2015/06/startup-launches-out-of-stealth-with-mark-cuban.html","Startup launches out of stealth with Mark Cuban advising, Coca-Cola as client","The software-as-a-service company is backed by $8 million to date from investors including Robin Brown, co-developer of the Mandarin Oriental Hotel in Boston, and Gary Vaynerchuk, co-founder and CEO of New York City-based social media marketing firm&nbsp;...","New York, New York cityNdx: 0"
"http://www.nytimes.com/2015/06/07/upshot/why-a-presidential-campaign-is-the-ultimate-start-up.html","Why a Presidential Campaign Is the Ultimate Start-Up","A new start-up in Brooklyn Heights has 80,000 square feet of freshly leased office space, computer boxes used as improvised furniture and enormous ambitions. Its growth plans put Silicon Valley start-ups to shame. The new outfit expects to hire ...","New York, New York cityNdx: 0"
"http://www.arkansasonline.com/news/2015/jun/14/bed-rest-sketches-leaving-a-mark-201506/?f=latest","Bed-rest sketches leaving a mark","Social media is an area where the company's success can be easily quantified. Lauren James has more than 148,000 followers on Instagram. ... Forthcoming marketing trips over the next six weeks will cover 6,000 miles with stops in Charlotte, N.C ...","New York, New York cityNdx: 0"
"http://www.nybooks.com/articles/archives/2015/jun/25/digital-journalism-next-generation/","Digital Journalism: The Next Generation","After the Boston marathon bombing sent a surge of traffic to the site, BuzzFeed brought over Lisa Tozzi from The New York Times to build a breaking-news team. It also ... One can see it at Quartz, the glossy business publication launched by Atlantic ...","New York, New York cityNdx: 0"
"http://www.syracuse.com/news/index.ssf/2015/06/mogee_keyboard_interns.html","Startup with emoji keyboard app founded by J-D, SU grad seeks summer interns","Syracuse, N.Y.  One of the companies in this year's StartFast Venture Accelerator program wants to work with dozens of high school interns this summer. Shuai Payne, a graduate of Jamesville-DeWitt High School and Syracuse University, founded the&nbsp;...","New York, New York cityNdx: 0"
