Website Name,Domain,Website Type,About,Linking From,Linking To,Anchor Text,Link Type,Sitewide Link,Number Of Links,Acquisition Method,Payment Date,Payment Amount,Payment Method,Payment Method Details,Payment Type,Payment Term,Payment Start Date,Payment Expiration Date,Payment Note,Primary Contact,Assigned To,Relationship Stage,Overall Rating,Email 1,Email 2,Email 3,Email 4,Facebook,Linked In,Twitter,Google Plus,Pinterest,Friend Feed,Contact Us Url,Phone 1,Phone 2,Fax,Address Line 1,Address Line 2,City,State,Zip,Country,Note,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Project,Date Added To Project,Linking To Domain,Linking From Domain,Linking From Tld,Linking,Link No Follow,Link Anchor Text Incorrect,Link Links On Page,Link Flagged Words Found,Link Last Checked,Website Date Added,Link Date Added,Link Date Reported,Link Date Found,Link Date Removed,Link Date Restored,Link PageRank,Link Date Cached,Payment Id,Payment Currency,Buzzstream Link Id,Moz Rank,Domain Authority,Homepage Page Rank,Technorati Rank,Inbound Links,Juice Passing Links,IP Address,Site Age,TwitterGrade,Twitter Followers,Twitter Following,Twitter Updates
digitaljungle.agency,digitaljungle.agency,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,1,,,0,0.0,182.50.150.1,,,,,
https:,https:,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,
socialmediasimplify.com,socialmediasimplify.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,syed@socialmediasimplify.com,,,,,,,,,,,,,,,,,,,,"Subject: Re: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: syed@socialmediasimplify.com
-------------------------

Hey Syed; 
Hope you are doing good.  
Last week I connected with you regarding Rime press coverage in socialmediaclub.org and socialmediasimplify.com . Rime is really pretty exciting idea and world need it currently since big giants social networks are becoming gatekeeper for the content outreach.  
It would be great if you can cover us. We have got featured in couple of magazines like Yourstory and haggerston-times.  
http://www.haggerston-times.com/rime-is-a-desktop-app-from-2-indian-founders-that-allows-you-to-display-all-of-your-social-media-content-in-one-place/ 
http://yourstory.com/2015/02/rime-social-media/ 
I would like to invite you to try rime with my personal invitation so that you dont have to wait for invite. 
https://rime.co/?invited_by=Girish 
 
Let me know if you have any questions or suggestions.  
PFA for press kit. 
 
 
Girish Nayak, 
Co-Founder Rime 
girish@rime.co 
 
-----Original Message----- 
 Hello Syed , 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
  
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,2.7509187147548033,21,3,,3,1.0,216.239.32.21,,,,,
geekszine.com,geekszine.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,4.680834285604289,21,1,,331,16.0,69.167.137.78,,,,,
socialforsmall.biz,socialforsmall.biz,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,3.5161778641852734,17,2,,37,4.0,45.55.184.154,,,,,
officetricks.com,officetricks.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,officetricks123@gmail.com,,,,,,,,,,,,,,,,,,,,"Subject: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: officetricks123@gmail.com
-------------------------

Hello , 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
  
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,4.430200234725939,22,0,,177,18.0,208.91.198.16,,,,,
adamearn.com,adamearn.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Replied,,acearnheardt@ysu.edu,,,,,,,,,,,,,,,,,,,,"Subject: Re: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: Adam C Earnheardt <acearnheardt@ysu.edu>
-------------------------

Hello Adam,

Good morning!

I hope you had a great labor day weekend. I am following to see if I can be
of any assistance in setting up your account or if you have any other
questions. We would really appreciate your feedback, and inputs on our
platform.

thanks and have a nice day!
Girish



On Wed, Sep 2, 2015 at 8:41 AM, Adam C Earnheardt <acearnheardt@ysu.edu>
wrote:

> Sounds interesting, and if you've read any of my articles, you know I'm
> always down for a review of a new sm tool. Please send the press kit my
> way. I'll sign up for the beta, and send you some questions.
>
> Thanks!
>
> +++++++++++++++++++++++
> Adam C. Earnheardt, Ph.D.
> Department of Communication
> Youngstown State University
> 1 University Plaza
> Youngstown, OH 44555
> 330-941-3631
> www.adamearn.com
> twitter.com/adamearn
> www.facebook.com/adamearn
>
>
>
> -------- Original message --------
> From: Girish Nayak <girish@rime.co>
> Date: 9/2/2015 8:00 AM (GMT-05:00)
> To: Adam C Earnheardt <acearnheardt@ysu.edu>
> Subject: Rime - Integrated Social Media Platform
>
> *Hello **,*
>
> *My name is Girish from Rime. We've developed a platform that helps
> connecting multiple social media platforms, and brining contents **(NOT
> feeds)** of all platforms to one unified timeline. Whilst there are
> similar apps out there (e.g. HootSuite, Buffer), this is the first time a
> platform has been created, to bring all contents of an artist/content
> creator to one platform. We are talking about creating an unique identity, **people
> and content search,** making sharing and following simple and easy,
>  making the entire **experience** of social media interaction easy and
> integrated. We envision Rime to be the ""Google""  for people
> and content search!*
>
>
> *Our latest release private Beta version , and thus far we have 3,500
> excited users. *
> *We are at https://rime.co <https://rime.co/>, and I will be happy to
> share the press kit if you'd  be interested. Let me know.  *
>
>
> *Thanks a lot for your time, *
> *Name: Girish Nayak *
> *Position: Co-Founder  *
> *Mobile number : +91-8454893412 **Email: girish@rime.co <girish@rime.co> *
>",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,16,,,0,0.0,199.34.228.77,,,,,
thejivereport.com,thejivereport.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,18,,,0,0.0,69.195.124.83,,,,,
neutral-neutral.com,neutral-neutral.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,4.4246837089965885,19,,,556,239.0,203.189.109.124,,,,,
human.social,human.social,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,1,,,0,0.0,184.168.47.225,,,,,
fiqhofsocial.media,fiqhofsocial.media,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,1,,,0,0.0,72.47.224.92,,,,,
jigawatts.com,jigawatts.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,15,0,,0,0.0,207.58.171.242,,,,,
kb.sparknearby.com,kb.sparknearby.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,ben@franklin.com,,,,,,,,,,,,,,,,,,,,"Subject: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: ben@franklin.com
-------------------------

Hello Ben, 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
  
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,3.556933634487592,17,,,10,4.0,23.99.0.12,,,,,
iyazam.com,iyazam.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,
entrepreneurshipinabox.com,entrepreneurshipinabox.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,
wwwzendudefitness.com,wwwzendudefitness.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,
therightstripes.com,therightstripes.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,razia@therightstripes.com,,,,,,,,,,,,,,,,,,,,"Subject: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: razia@therightstripes.com
-------------------------

Hello Razia , 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
 We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
 
 
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,3.6751408332737387,14,0,,34,4.0,5.133.182.68,,,,,
dverrengia.com,dverrengia.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,3.8233132741945077,17,0,,38,7.0,192.186.198.35,,,,,
likeabossgirls.com,likeabossgirls.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,editor@likeabossgirls.com,,,,,,,,,,,,,,,,,,,,"Subject: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: editor@likeabossgirls.com
-------------------------

Hello , 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
  
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,3.1089144726753837,22,,,2,2.0,184.106.55.73,,,,,
ikiguide.com,ikiguide.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,4.367123995114723,15,0,,244,3.0,192.0.78.25,,,,,
the500b.com,the500b.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,laura@the500b.com,,,,,,,,,,,,,,,,,,,,"Subject: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: laura@the500b.com
-------------------------

Hello Laura, 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
  
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,3.6646457290542713,16,,,8,1.0,50.87.248.81,,,,,
goforlaunch.io,goforlaunch.io,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,4.428788835686057,21,,,70,47.0,23.92.25.160,,,,,
businessjunkee.com,businessjunkee.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,15,,,0,0.0,104.31.84.93,,,,,
rationalcomics.com,rationalcomics.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,joshua@rationalcomics.com,,,,,,,,,,,,,,,,,,,,"Subject: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: joshua@rationalcomics.com
-------------------------

Hello Joshua , 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
  
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,3.0440551080999896,22,,,4,3.0,173.254.28.58,,,,,
thelegitblog.com,thelegitblog.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,alvingjgarcia@hotmail.com,,,,,,,,,,,,,,,,,,,,"Subject: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: alvingjgarcia@hotmail.com
-------------------------

Hello , 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
  
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,15,,,1,0.0,107.180.2.120,,,,,
treplifedad.com,treplifedad.com,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,Attempting To Reach,,james@wemontage.com,,,,,,,,,,,,,,,,,,,,"Subject: Rime - Integrated Social Media Platform
From: Girish Nayak <girish@rime.co>
To: james@wemontage.com
-------------------------

Hello James, 
 My name is Girish from Rime. We've developed a platform that helps connecting multiple social media platforms, and brining contents (NOT feeds) of all platforms to one unified timeline. Whilst there are similar apps out there (e.g. HootSuite, Buffer), this is the first time a platform has been created, to bring all contents of an artist/content creator to one platform. We are talking about creating an unique identity, people and content search, making sharing and following simple and easy,  making the entire experience of social media interaction easy and integrated. We envision Rime to be the ""Google""  for people and content search! 
 Our latest release private Beta version , and thus far we have 3,500 excited users. 
We are at https://rime.co, and I will be happy to share the press kit if you'd  be interested. Let me know. 
  
 Thanks a lot for your time, 
Name: Girish Nayak 
Position: Co-Founder  
Mobile number : +91-8454893412 
Email: girish@rime.co ",,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,3.2159651595639254,22,,,67,10.0,184.168.47.225,,,,,
craigshaw.xyz,craigshaw.xyz,,,,,,,,,,,,,,,,,,,,amiteng123@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rime,9/1/2015,,,,,,,,,,9/1/2015,,,,,,,,,,,0.0,1,,,0,0.0,50.87.235.244,,,,,
