"URL","Title","Description","Region"
"http://www.techtimes.com/articles/78489/20150824/the-evolution-of-ello.htm","The Evolution of Ello","It was a little bit like throwing a party with nobody in it, Paul Budnitz answers without missing a beat. He's heard it all - or read it, mostly. In April of last year, his seven-person social network was declared the Anti-Facebook by the cream of ...","World wide"
"http://magazine.du.edu/fall-2015/emergent-digital-practices-degree-sets-the-stage-for-ello-co-founders-creative-success/","Emergent Digital Practices degree sets the stage for Ello co-founder's ...","Emergent Digital Practices degree sets the stage for Ello co-founder's creative success. By Kathryn Mayer Posted August 23, 2015 at 10:48 am. Alumnus Justin Gitlin is one of the founders of social network Ello. Photo: Wayne Armstrong. Justin Gitlin is ...","World wide"
"http://www.theverge.com/2015/6/18/8800035/ello-ad-free-social-network-iphone-app-launch","Ello thinks its new iPhone app might help it stay alive","Ello co-founder and CEO Paul Budnitz made it clear that he feels like this app release marks a more formal, feature-complete launch of the service, compared to what came last fall. Users can now join without an invite, and he thinks the platform is now ...","World wide"
"http://www.vermontbiz.com/news/april/elloco-releases-ello-beta-v2-secures-new-5-million-round-funding","Ello.co releases Ello Beta V.2, secures new $5 million round of funding","We're listening to our community and that's helping Ello grow rapidly from the inside out, said Ello Co-CPO Lucian Fohr. New features and mobile apps coming this spring will only add to people's ability to connect with others with similar interests ...","World wide"
"http://mic.com/articles/121238/ello-facebook-ads","Ello's New Facebook Ads Are Creepy and Invasive  And That's Exactly the Point","Ello turned heads in September as an anti-Facebook, anti-advertising social network. But then it lost some steam. Not everyone, it turns out, was so convinced that Facebook's advertising practices are actually creepy enough to warrant a switch in ...","World wide"
"http://hereandnow.wbur.org/2014/10/03/ello-cofounder-budnitz","Ello Co-founder: No Ads, Ever","The new social network site Ello is described as the anti-Facebook because it pledges not to be ad-free. (Ello). If you're at all tuned into social media, you may have started seeing a whole lot of references to Ello popping up in the last couple ...","World wide"
"http://www.cnet.com/how-to/what-is-ello-the-ad-free-social-network/","10 things to know about Ello, the ad-free social network","Like every other social network, you'll get your own profile page, which can be accessed via Ello.co/(your user name). By default, this is accessible by anyone, whether or not they have an Ello account. From your profile page, click the large circle to ...","World wide"
"http://buzzworthy.blog.austin360.com/2015/06/11/minimalist-social-network-ello-is-launching-ios-version/","Minimalist social network Ello is launching iOS version","Ello is a social network that promises an ad-free experience and a minimalist design. Its website is at ello.co. Credit: ello.co. Remember when Ello was cool? It's ok, neither does anyone else. Take a minute to go dust off your profile though ...","World wide"
"http://www.chicagotribune.com/lifestyles/ct-social-media-ello-paul-budnitz-20150120-column.html","A chat about Ello and tips for choosing your next social network","We don't consider Facebook to be competition, Ello co-founder and CEO Budnitz told me late last month by phone. Facebook is an ad platform, not a social network. On Facebook, it's all about showing you more ads, and the customer being the product.","World wide"
"http://www.mtv.com/news/1957607/ello-versus-facebook/","Ello's Co-Founder Gives Us 11 Reasons Why You Should Ditch Facebook","Everyone's talking about Ello.co, the Internet's newest social network. I understand the excitement  Ello is a new, shiny thing to play with and people like new, shiny things. The site has some cool stuff to offer though, so hear me out before you ...","World wide"
"http://www.vice.com/read/people-are-still-using-ello-535","Ello: Is There Anybody Out There?","Last September, a website called Ello appeared, and very quickly, everyone got very excited. It was an ad-free social network that promised not to sell users' data and give them a clean, vaguely Scandinavian-looking layout. Anyone looking for a ...","World wide"
"http://readwrite.com/2014/12/30/ello-paul-budnitz-social-media-future-kidrobot","Ello Founder Paul Budnitz Did Something Stupid ... And It's Still Working","Since beginning its beta in August, new social network Ello has attracted attention for its spare, minimalist design, its invitation-only status, its temerity to take on Facebook, and most notably, its refusal to host ads. Ello's also been criticized ...","World wide"
"http://www.tomsguide.com/us/what-is-ello-how-to,news-19633.html","What is Ello and How to Use It","Facebook is not the hot and exclusive club it once was. In fact, some folks find it to be downright annoying, filled with ads and auto-playing videos. With kids and hipsters fleeing the social networking giant, the time seems right for the rise of a ...","World wide"
"http://www.rt.com/usa/199056-ello-millions-charter-ads/","Anti-Facebook social site Ello gets millions in funding, promises to stay ad ...","Ello, the new social-media site that exploded last month, has raised $5.5 million through investors and says a charter that was recently signed by the company's executives will see to it that users will continue to be offered an ad-free experience.","World wide"
