"URL","Title","Description","Region"
"http://www.mobileworldlive.com/apps/news-apps/instagram-kids-kuddle-kicks-funding-drive/","Instagram for Kids Kuddle kicks off funding drive","Kuddle, a Norwegian start-up offering a safe picture-sharing app aimed towards children, took to crowdfunding site Fundable in its efforts to raise $1.35 million. The company said that while it is extremely popular in its home market of Scandinavia ...","World wide"
"http://www.businesswire.com/news/home/20150610006172/en/Lingo-Media-Group-Kuddle-Instagram-Kids-Opened","Lingo Media Group: Kuddle the Instagram for Kids Have Opened up Its 2nd Round ...","The 2nd round of funding values the company at $4.5 million before the issue of new shares, and Kuddle is using the crowdfunding platform Fundable.com (https://www.fundable.com) for this round. This is a great investment opportunity and a low entry ...","World wide"
"http://www.crowdfundinsider.com/2015/01/61070-norway-based-kuddle-announces-new-crowdfunding-campaign-seeks-raise-4-7-million/","Norway-Based Kuddle Announces New Fundable Campaign; Seeking to Raise $4.7M","Explaining the details about the campaign, chief executive of Kuddle, Ole Vidar Hestaas stated, We feel this is an exciting way to raise capital. We have had serious talks with major venture funds but have decided to grow the company somewhere more&nbsp;...","World wide"
"http://www.reuters.com/article/2015/01/14/us-apps-issue-kuddle-idUSKBN0KN1MJ20150114","Norway's Kuddle plans to raise $7.4 million through crowdfunding","Launched last August, Kuddle lets parents monitor what their children publish and keeps access to content restricted. The firm missed a target of attracting one million users by the end of 2014, but says it's on track to hit that number within the next ...","World wide"
"http://www.fredericksburg.com/features/now-everyone-can-have-a-kuddle-up-baby-blanket/article_f9cf590f-baeb-5feb-adea-d6700c1635e6.html","Now everyone can have a Kuddle Up baby blanket","It's kind of taken on this life of its own, said Tim Abate, president of textiles division for Medline Industries, where longtime employees have been tickled by the recent attention lavished on its Kuddle Up blanket, from heartfelt Facebook posts to ...","World wide"
"http://www.fastcompany.com/3034570/fast-feed/this-is-kuddle-the-instagram-for-kids","This Is Kuddle, The Instagram For Kids","Did you know that there is an Instagram for kids? It's called Kuddle, and the photo-sharing application was designed by developers in Norway who built the thing with the noblest of intentions. It's designed, first and foremost, to teach kids manners ...","World wide"
"http://qz.com/280475/why-every-newborn-you-see-on-facebook-is-wrapped-in-the-same-baby-blanket/","Why every newborn you see on Facebook is wrapped in the same baby blanket","The blanket is part of the Kuddle-Up line made by a Mundelein, Illinois-based healthcare supply company called Medline. The company was started in 1910 by A.L. Mills, an Arkansan who moved to Illinois and made his living creating butcher aprons for&nbsp;...","World wide"
"http://www.prnewswire.com/news-releases/introducing-kuddle-a-new-picture-sharing-app-especially-designed-for-kids-270312091.html","Introducing Kuddle, a New Picture Sharing App Especially Designed for Kids","Kuddle offers users features to educate children about things such as inclusion, responsibility, and online etiquette  otherwise known as netiquette. The app features a character  Kodi Kuddle  who befriends all users by default and regularly sends&nbsp;...","World wide"
"http://www.digitaltrends.com/photography/photo-app-news-kuddle-instagram-kids-looksee-brings-photographers-together/","Kuddle is an Instagram for kids, while Looksee brings photographers together","Kuddle is a photo sharing app for kids of all ages, intended to create a safe environment where kids can share their photos without the risk of being bullied. In a sense, Kuddle is a bit of an Instagram for kids, with the difference that it allows the ...","World wide"
"http://www.independent.ie/style/celebrity/a-khristmas-kuddleup-for-bruce-jenner-who-attends-ex-wifes-kris-jenners-festive-party-30862815.html","A Khristmas Kuddle-Up for Bruce Jenner who attends ex wife's Kris Jenner's ...","Former Olympian Bruce (65) was a surprise appearance at Kris' annual Christmas Eve shindig at her Hidden Hill California home. Bruce posed for a picture with daughters Kylie and Kendall at the party, that also saw Kim Kardashian, Kanye West and Khloe&nbsp;...","World wide"
