"URL","Title","Description","Region"
"http://www.theguardian.com/technology/2015/sep/13/what-is-your-social-media-age-take-our-test","What is your social media age? Take our test.","Most of your social media posts are made up entirely of hearts, fistbumps and yellow cry-faces. You flirt and sext with aubergines and kisses, plus are partial to the nail-painting one and the smiley poo. The odd smiley face or dancing flamenco lady ...","World wide"
"http://profootballtalk.nbcsports.com/2015/09/13/rams-sack-russell-wilson-again-this-time-on-social-media/","Rams sack Russell Wilson again, this time on social media","Rams sack Russell Wilson again, this time on social media. Posted by Darin Gantt on September 13, 2015, 5:34 PM EDT. Russell Wilson, Aaron Donald AP. The Rams got the last laugh Sunday, and then made everyone else laugh. Except maybe Russell&nbsp;...","World wide"
"http://espn.go.com/nfl/story/_/id/13649058/social-media-erupts-mariota-mariota-throws-4-tds-first-half","How social media reacted to Marcus Mariota's 4-TD game","You might have heard: Jameis Winston and Marcus Mariota are playing against each other on Sunday, becoming the first rookie quarterbacks selected No. 1 and No. 2 in the draft to face off in Week 1. They also have the youngest combined age (43 years,&nbsp;...","World wide"
"http://www.localsyr.com/news/local-news/keeping-your-social-media-professtional","Keeping your social media professional","In order to find out what students think about their current social media profiles, NewsChannel 9 asked three college students the following question: If any employer were to look at your social media today, would you be confident in it or would there ...","World wide"
"http://host.madison.com/opinion/column/ann-s-jacobs-when-social-media-and-the-law-collide/article_d2305179-adbc-54be-a180-c37ed2e96447.html","Ann S. Jacobs: When social media and the law collide","My husband and I have had endless conversations with our teenage daughters about the perils of social media. The Internet is forever is our mantra. Facebook alone now has close to 1.5 billion users and that doesn't even take into account the dozens ...","World wide"
"http://chicago.suntimes.com/business/7/71/948891/sunday-sitdown-scott-emalfarb-social-media-startup-founder","Sunday Sitdown: Scott Emalfarb, social media startup founder","Fresh Content Society is the social media agency of record for Peak Auto, a family-owned company in Northbrook that sponsors race teams in NASCAR and the National Hot Rod Association. Peak Auto joined John Force Racing this year, and we have 13&nbsp;...","World wide"
"http://www.dailymail.co.uk/tvshowbiz/article-3233207/Just-moving-Laurent-Brant-posts-cryptic-message-social-media-Beau-Ryan-continues-low-profile.html","'Just keep moving': Lauren Brant posts cryptic message on social media as Beau ...","She's at the centre of a high-profile celebrity scandal, and the buzz isn't going to die down any time soon thanks to Lauren Brant's activity on social media. Since Woman's Day reported the I'm A Celebrity... Get Me Out Of Here! star and the NRL Footy ...","World wide"
"http://www.latimes.com/local/lanow/la-me-ln-fires-social-media-20150913-htmlstory.html","Raging Valley and Butte fires spur help, sympathy on social media","As two fast-moving blazes tore through Northern California -- with one exploding late Saturday to overrun the small Lake County community of Middletown -- the nation watched in horror on social media, as locals connected to seek and offer help. The ...","World wide"
"http://www.postandcourier.com/article/20150913/PC16/150919694/1006/head-xy-head-xy-head-xy-head-xy","Lowcountry law enforcement online: 'Social media is here to stay'","He said the Sheriff's Office began dabbling in social media about four years ago and now uses it all day, every day. He manages accounts on Facebook, Twitter, Instagram, YouTube and Periscope. Each platform, Watson said, reaches a different audience.","World wide"
"http://www.inquisitr.com/2417209/father-sues-facebook-after-11-year-old-daughter-used-social-media-profile-to-contact-men/","Father Sues Facebook After 11-Year-Old Daughter Used Social Media Profile To ...","A father sued Facebook for failing to enforce its age restriction policies as his 11-year-old daughter used the social network site to upload sexual photos of herself and communicated with men on the website. The father says Facebook should have done ...","World wide"
"http://www.business2community.com/social-media/chasing-the-social-media-prize-is-a-losing-effort-01322834","Chasing the Social Media Prize is a Losing Effort","Social Media is now the activity that marketers like to put on their resume as having so much marketing experience. Is this real experience or a bunch of fluff? You see it on people's resumes and Linkedin Profiles. However, if you ask a follow-up ...","World wide"
"http://www.hngn.com/articles/129112/20150913/social-media-sleep-pressure-online-24-7-linked-poorer-increased.htm","Social Media And Sleep: Pressure To Be Online 24/7 Linked To Poorer Sleep And ...","A new study conducted by Dr Heather Cleland Woods and Holly Scott of the University of Glasgow focused on finding a link among sleep, depression, and social media use. They asked 467 teens to answer a questionnaire to get data on their social media&nbsp;...","World wide"
"http://www.inquisitr.com/2417108/neil-degrasse-tyson-sets-off-social-media-firestorm-with-personal-delusions-tweet/","Neil deGrasse Tyson Sets Off Social Media Firestorm With 'Personal Delusions ...","Astrophysicist Neil deGrasse Tyson occasionally says something on social media that sparks controversy  usually a tweet that doesn't seem to actually carry any ill intent, but expresses something about science that clashes with some religious beliefs.","World wide"
"http://www.dailymail.co.uk/news/article-3233179/Entourage-star-Adrian-Grenier-receives-backlash-social-media-9-11-tribute.html","Entourage star Adrian Grenier receives backlash on social media for 9/11 tribute","The 39-year-old actor made the post on Friday, writing: 'R.I.P. the 2,996 Americans who died in 9/11. R.I.P. the 1,455,590 innocent Iraqis who died during the U.S. invasion for something they didn't do.' The now-deleted Instagram post included an image ...","World wide"
"http://www.cbc.ca/news/politics/canada-election-2015-parties-candidates-social-media-gaffes-1.3225871","Political parties look closer at candidates' social media histories after ...","He said in light of the cases that have cropped up recently, all parties are taking a closer look at the social media history of their teams. Research of a candidate's online presence is typically part of a party's vetting process. So are checks into ...","World wide"
"http://www.abc.net.au/local/stories/2015/09/14/4311992.htm","Social media detectives locate stolen postie bike","Being from Brisbane, Mr Davies was effectively stranded without his bike and, after informing the police, turned to social media for help. So many people seemed to sympathise with me and shared it so much that [Monday] morning I woke up to a message&nbsp;...","World wide"
"http://www.nj.com/giants/index.ssf/2015/09/what_giants_player_has_sworn_off_social_media_for.html","What Giants player has sworn off social media for the season?","Left guard Justin Pugh says he is giving up Twitter, Instagram and Facebook for the next five months -- maybe more if the Giants reach the postseason. I'm off social media, I don't listen to anybody,'' Pugh told the New York Post. Since we started ...","World wide"
"http://www.newindianexpress.com/nation/MHA-Gag-on-Paramilitary-Men-Sharing-Info-on-Social-Media/2015/09/14/article3026965.ece","MHA Gag on Paramilitary Men Sharing Info on Social Media","NEW DELHI: The Ministry of Home Affairs (MHA) has directed central paramilitary forces like the Central Reserve Police Force and the BSF to restrain their personnel from sharing sensitive information and photos on social media forums like WhatsApp and&nbsp;...","World wide"
"http://www.educationworld.com/a_news/what-educators-want-using-instagram-and-social-media-532692965","What Educators Want From Using Instagram and Social Med...","Understanding the legalities of minors posting personal information on social media accounts for class, general ways to use Instagram and other social media effectively in the classroom, and finding a sense of equality and ethical standard within BYOD&nbsp;...","World wide"
"http://www.pressandguide.com/articles/2015/09/13/news/doc55f5a420ec00d935869160.txt","UM-Dearborn social media expert says people post unverified information to be ...","The answer is twofold, according to Philipp Rauschnabel of Gibraltar, social media expert and assistant professor of marketing at the University of Michigan-Dearborn. The first reason is that they care about others and truly want to help. The second is ...","World wide"
"http://arizonasports.com/story/370979/cardinals-tyrann-mathieu-among-nfls-best-in-social-media-reach/","Chris Courtney Cardinals' Tyrann Mathieu among NFL's best in social media reach","We all know Arizona Cardinals defensive back Tyrann Mathieu to be a player and a personality that is anything but understated or reclusive, as his exciting style of play and interaction and engagement with fans and media members on social media make ...","World wide"
"http://www.straitstimes.com/asia/se-asia/malaysia-pm-najib-blames-social-media-for-attacks-on-him","Malaysia PM Najib blames social media for attacks on him","Malaysian Prime Minister Najib Razak has insisted again that he will not resign despite mounting accusations against him, blaming the spread of falsehood and defamatory remarks about him on the use of social media. He also claimed on Sunday (Sept 13)&nbsp;...","World wide"
"http://www.news24.com/SouthAfrica/News/School-principal-takes-to-social-media-as-bullying-video-goes-viral-20150913","School principal takes to social media as bullying video goes viral","We mourn the unfortunate incident that happened between Grade 7 pupils at our school, wrote principal LA Haupt on Laerskool Randfontein's Facebook page on Friday evening. This incident was recorded and distributed in the media. Everyone who was&nbsp;...","World wide"
"http://www.pe.com/articles/josh-780106-peck-twitter.html","RIVERSIDE: Social media fans flock to actor's sitcom screening","Actor Josh Peck has this social media thing wired. Hundreds of his fans lined up outside the Fox Performing Arts Center on Saturday, Sept. 12, to see the former Nickelodeon star's live appearance at a screening of his new sitcom, Grandfathered. The ...","World wide"
"http://www.punchng.com/i-punch/social-media-and-sdgs/","Social media and SDGs","It is currently headed by Prof. Joy Ogwu, who was a former Minister of Foreign Affairs. She will need to extend the frontiers of her work as Nigeria's face at the United Nations by making the process participatory. And social media offers her great ...","World wide"
"http://www.news1130.com/2015/09/13/a-look-at-which-social-media-platform-is-most-effective-in-reaching-younger-voters/","A look at which social media platform is most effective in reaching younger voters","Alise Mills, the executive director for Conservative Voice is finding Instagram to be where both party leaders and millennials are benefiting most from social media by posting pictures and provoking dialogue there, she says, reaches a different ...","World wide"
"http://www.newsday.com/news/nation/trump-uses-social-media-to-promote-himself-take-down-opponents-1.10835275","Trump uses social media to promote himself, take down opponents","He called Jeb Bush crazy and President Barack Obama psycho. He mocked Bernie Sanders and Lindsay Graham. He's tried to belittle political columnists and disclosed a critic's solicitation of a donation. Donald Trump is using social media -- especially&nbsp;...","World wide"
"http://gazette.com/ty-lawson-calls-out-denver-nuggets-front-office-on-social-media/article/1559241","Ty Lawson calls out Denver Nuggets front office on social media","photo - FILE - This is a Feb. 3, 2015, file photo showing Caption + FILE - This is a Feb. 3, 2015, file photo showing Ty Lawson of the Denver Nuggets NBA basketball team during a game against the Philadelphia 76ers in Philadelphia. Denver Nuggets point&nbsp;...","World wide"
"http://www.huffingtonpost.ca/2015/09/11/social-media-mishaps-canada-election_n_8125322.html","Katherine Swampy Becomes Latest Candidate Plagued By Social Media Past","An Alberta candidate's social media posts featuring profanity and a toy gun are the latest online gaffes plaguing the federal election campaign. Katherine Swampy, who is running for the NDP in Alberta's Battle River-Crowfoot riding, is under fire for ...","World wide"
"http://onlineathens.com/mobile/2015-09-12/terrorists-dont-fit-profiles-partly-because-social-media-recruiting-says-federal","Terrorists don't fit profiles, partly because of social media recruiting, says ...","It's impossible to easily profile terrorists any more  at least partly because terrorist recruiters are able to reach would-be recruits so readily through social media, according to an analyst with the National Counterterrorism Center told a ...","World wide"
"http://www.firstcoastnews.com/story/news/local/2015/09/11/social-media-joshua-goldberg/72093704/","Orange Park terror suspect: Pulling the strings of social media","JACKSONVILLE, Fla.  A local 20 year old is in Federal custody after he was arrested for allegedly plotting a terror attack meant to be carried out in Kansas City Sunday. Law enforcement officials tell us Joshua Goldberg is being held in the Baker ...","World wide"
"http://gazette.com/social-media-replay-denver-broncos-vs.-baltimore-ravens/article/1559243","Social media replay: Denver Broncos vs. Baltimore Ravens","photo - Broncos quarterback Peyton Manning is sacked by Ravens inside linebacker C.J. Mosley in the Caption + Broncos quarterback Peyton Manning is sacked by Ravens inside linebacker C.J. Mosley in the first half Sunday, September 13, 2015 in the&nbsp;...","World wide"
"http://comicbook.com/2015/09/13/social-media-how-stephen-amell-vin-diesel-and-others-keep-fans-g/","Social Media: How Stephen Amell, Vin Diesel, and Others Keep Fans Going with ...","There's a sense of personal connection that the most successful social media navigators manage to foster with their audience, and Facebook is the place where that's the most important -- partially because it's hardest to fake. Everybody has Facebook ...","World wide"
"http://www.sportingnews.com/sport/story/2015-09-13/social-media-disapproves-of-mayweather-berto-fight-twitter-jokes","Social media roasts Mayweather-Berto","And after yet another defensive clinic, where Berto landed just 17 percent of his 495 punches, a lot of fans on social media are tired of it. Even Manny Pacquiao took to Instagram to show his boredom. PHOTOS: Best photos from Mayweather-Berto | Five ...","World wide"
"http://www.smh.com.au/comment/how-political-leadership-and-social-media-changed-australias-toxic-refugee-debate-20150911-gjkr5h.html","How political leadership, and social media, changed Australia's toxic refugee ...","But something else happened. The social media reaction to the Border Force fiasco had been dismissed a week earlier by the Abbott Government as hysterical. Fairfax and the ABC were scolded for following the elites on Twitter, and letting the tail wag ...","World wide"
"http://timesofindia.indiatimes.com/city/patna/Nitish-SuMo-share-social-media-honours/articleshow/48949065.cms","Nitish, SuMo share social media honours","The bonding of Nitish and Lalu on the social media is well balanced. While Lalu whips up caste sentiments and tickles followers, Nitish talks sense and trumpets his development agenda through Facebook posts. Nitish's latest Facebook post talks about ...","World wide"
"http://www.thehindu.com/news/cities/Hyderabad/ktr-praises-social-media/article7650790.ece","KTR praises social media","Mr. Rama Rao spoke at a national meet on Social media for good governance and inclusive development on topics covering use of social media, development opportunities and its role in transparent administration. Several Union Ministers and experts&nbsp;...","World wide"
"http://www.vnews.com/news/nation/world/18559940-95/migrants-helped-by-social-media","Migrants Helped by Social Media","Refugees check their mobiles aboard a ferry traveling from the northeastern Greek island of Lesbos to the Athens' port of Piraeus, Thursday, Sept. 10, 2015. The social media-savvy among the migrants are constantly on their phones and they line up ...","World wide"
"http://www.vindy.com/news/2015/sep/13/speed-trap-photo-accelerates-social-medi/","Speed-trap photo accelerates social media","While law enforcement captured pictures of license plates of purported speeders on I-680, it was another picture that accelerated the Youngstown speed-trap story on social media. The picture was of an officer holding what appears to be a radar gun on a&nbsp;...","World wide"
"http://www.bizpacreview.com/2015/09/13/ivy-league-school-embraces-sharia-center-and-social-media-erupts-i-call-this-revolting-251196","Ivy League school embraces Sharia law center and social media erupts: 'I call ...","Yale University is going so far to the left, it doesn't know what's right anymore. One of the most revered institutions of higher learning in the world, Yale, like most colleges and universities, is no stranger to having a liberal bias. But what's been ...","World wide"
"http://www.imediaconnection.com/content/39188.asp","The 3 best brand storytellers on social media","There are so many brands that could be on this list and so many ways we could rank the top choices. As social has evolved, so have the ways in which brands use it to reach their audiences, and brand executions on social media get better and better ...","World wide"
"http://jobs.aol.com/articles/2015/09/11/10-ways-social-media-can-help-you-land-a-job/","10 Ways Social Media Can Help You Land a Job","Companies are checking you out online, so why not use social media to enhance your qualifications? A 2015 CareerBuilder survey of more than 2,000 hiring managers and human resource professionals revealed that 52 percent of employers use social&nbsp;...","World wide"
"http://www.nydailynews.com/life-style/starbucks-pumpkin-spice-latte-social-media-master-article-1.2357491","Starbucks' pumpkin spice latte is a social media master","Starbucks' pumpkin spice lattes are apparently just as popular on the Internet as they are in real life. The massive coffee chain certainly needs no help selling its beverages, in particular its signature autumn drink, but a social media campaign for ...","World wide"
"http://fashionweekdaily.com/fma-winner-taylorhill-model-of-the-year/","FMA Winner: Taylor Hill, Model of the Year, Social Media","Why is social media important to you? Because of the possibilities it gives me as a model. I have more of a voice, and it shows more sides of me than before. You are perceived by how you look, but with social media you can say what you want and show ...","World wide"
"http://www.foxsports.com/nba/story/moses-malone-death-social-media-reactions-091315","Former, current players react to Moses Malone's passing","The NBA world was quick to respond in the wake of reports that Moses Malone, one of the NBA's all-time greats, had passed Sunday at the age of 60. The news came on the heels of another Philadelphia 76ers icon, Darryl Dawkins, dying just over two weeks&nbsp;...","World wide"
"http://indianexpress.com/article/cities/delhi/strength-of-social-media-is-in-common-man-airing-opinion-union-minister-jitendra-singh/","Strength of social media is in common man airing opinion: Union minister ...","In his inaugural address at the two-day conclave on 'Social Media for Good Governance', chief guest Jitendra Singh, Union Minister of State for Development of North Eastern Region, underlined the importance of social media for bringing about public&nbsp;...","World wide"
"http://www.nytimes.com/2015/09/10/us/reaction-to-kim-davis-release-floods-social-media-same-sex-marriage.html","Reaction to Kim Davis's Release Floods Social Media","On social media, some people posted conjecture as to how the situation would have turned out if a Muslim or a black American had been in the same position as Ms. Davis, who is a white Christian. One person cited an example in which a Muslim flight&nbsp;...","World wide"
"http://wtnh.com/2015/09/12/social-media-post-leads-to-2-arrests-drug-bust-seizure-of-guns/","Social media post leads to 2 arrests, drug bust, seizure of guns","A social media post led to two arrests and the seizure of guns and drugs Friday, September 11, 2015. (Provided Photo/Bartholomew County Sheriff's Office). BARTHOLOMEW COUNTY, Ind. (WISH)  The Bartholomew County Sheriff's Office arrested two&nbsp;...","World wide"
