"URL","Title","Description","Region"
"http://gigamir.net/money/economics/pub2057939","      ",",    ,     ,       , -   ,  Tint http://www.tintup.com.   , -  , -  &nbsp;...","World wide"
"http://yourstory.com/2015/07/tint/","Denied funding, how TINT survived on customer confidence and wallet to become ...","TINT is a social media display tool that aggregates social media content from Twitter, Facebook, Instagram, and 10 other social networks. It helps brands display them on their websites, TV screens, billboards and jumbotrons. It was founded by Nikhil ...","World wide"
"http://www.uloop.com/news/view.php/152157/How-Hashtags-Evolved-And-Changed-The-Way","How Hashtags Evolved And Changed The Way We Communicate","But now that the symbol has been established as a hashtag, it's changed the way we communicate, both online and in the real world. Photo Credit: tintup.com. Though it seems the hashtag is a more recent development, the metadata label was actually first&nbsp;...","World wide"
"http://petapixel.com/2015/01/29/crowdsourced-instagram-photos-snowstorm-land-front-page-new-york-times/","Crowdsourced Instagram Photos of Snowstorm Land on the Front Page of the New ...","Yesterday's front page of the New York Times featured a story about the snow that has been falling on the Northeastern United States. Accompanying the article and dominating a large portion of the page were 9 Instagram photos of the snow as snapped by&nbsp;...","World wide"
"http://www.centralkitsapreporter.com/news/306371621.html","US Open trophy on display at Gold Mountain Golf Club","The Trophy will make its way across the country for the 115th U.S. Open Championship at Chambers Bay June 1821. Follow the cross-country journey of the trophy: tintup.com/openforall. Gold Mountain Golf Club is located at 7263 West Belfair Valley Road&nbsp;...","World wide"
"http://www.uloop.com/news/view.php/158383/5-Steps-To-Becoming-One-Of-The-Healthies","5 Steps To Becoming One Of The Healthiest Colleges In The US","... health is extremely important, because you should never feel alone. Healthy schools also tend to provide free health screenings for some STD's, and provide condoms and information on safe sex to help promote healthy relationships. http://www.tintup ...","World wide"
"http://www.hoteliermiddleeast.com/24042-trader-vics-souk-madinat-is-bar-team-of-the-year/","Trader Vic's Souk Madinat is Bar Team of the Year","... Baqer Mohebi, IFFCO, Pristine Belgium; water sponsor Acqua Panna and San Pellegrino, coffee sponsor Julius Meinl, and support sponsor Gourmet Olive Market. Also present were photobooth sponsor Pod You Like, and social media wall sponsor TintUp.","World wide"
"http://fusion.net/story/138615/you-will-never-ever-guess-who-the-top-google-images-result-for-celebrity-is/","The top Google Images result for 'celebrity' is bizarre","tintup.com. Jack Black, as seen in an article titled '4 Ways Celebrity Social Media Engages Fans.' Yes, the 45-year-old star of School of Rock, Nacho Libre, and Kung Fu Panda represents the quintessential image of fame, at least according to the search&nbsp;...","World wide"
"http://rio2016.olympics.com.au/footer/footer-2/privacy-policy-t-and-cs","Privacy Policy, Terms and Conditions","... Facebook Analytics, Twitter Analytics, YouTube Analytics, Instagram Analytics, Google+ Analytics, Storify Analytics, BufferApp Analytics, TweetDeck Analytics, HootSuite Analytics, Infogram Analytics, TintUp Analytics and MultiChannel Network (MCN).","World wide"
"https://www.techinasia.com/aspiredsteps-app-diy/","AspiredSteps is a DIY app with an m-commerce twist","If you're good at making stuff  whether it's artwork, cooking up a top-secret recipe, or crafting handmade furniture for your home  there's an app out there that lets you show the world how you do-it-yourself. But we bet you'd have a hard time ...","World wide"
"http://www.hoteliermiddleeast.com/24069-jumeirah-hospitality-crowned-event-catering-team/","Jumeirah Hospitality crowned Event Catering Team","... Baqer Mohebi, IFFCO, Pristine Belgium, water sponsor Acqua Panna and San Pellegrino, coffee sponsor Julius Meinl, and support sponsor Gourmet Olive Market. Also present were photobooth sponsor Pod You Like and social media wall sponsor TintUp.","World wide"
"http://www.hoteliermiddleeast.com/24067-asado-voted-best-hotel-restaurant-of-the-year/","Asado voted best hotel restaurant of the year","Authentic Argentinian restaurant of the Palace Downtown Dubai has taken the Restaurant Team of the Year  Hotel Managed Outlet award by storm at this year's Caterer Middle East Awards. The entries for this category really gave our judges pause for&nbsp;...","World wide"
"http://www.irishexaminer.com/lifestyle/homeandgardens/homehelp/ways-to-mix-and-match-your-home-decor-scheme-mdash-even-if-its-white-307547.html","Ways to mix and match your home decor scheme  even if it's white","Pictures, storage pieces, artwork and upholstery wash enough tint up the walls for my liking  and it's so blessedly easy to mix up a new palette inexpensively from year to year. ARSENIC AND YOUR PLACE. If you are looking for a foil to the wildly ...","World wide"
"http://www.inquisitr.com/1527371/terrifying-new-kidnapping-hoax-on-the-rise/","Terrifying New 'Kidnapping Hoax' On The Rise","The phone rings. A father answers. A man with a Hispanic accent informs the father that he is with a cartel, and that he has just kidnapped his daughter. In the background, plainly heard, are the cries of a young girl who sobs, I don't know where I am ...","World wide"
"http://www.businessinsider.com/san-francisco-office-rents-have-risen-90-percent-2014-7","San Francisco Office Rents Have Risen Nearly 90% In The Last Four Years Thanks ...","Tech workers and their large salaries have largely been blamed for the gentrification and rising rents plaguing San Francisco. When it comes to finding a place to live, demand has far outpaced supply. It turns out the same thing is happening to ...","World wide"
"http://synapse.ucsf.edu/articles/2014/05/29/social-media-says-congrats-2014-ucsfgraddiv-graduates","Social Media Says Congrats to the 2014 #UCSFGradDiv Graduates","The human brain, he said, is an organ of remarkable plasticity, and we must pursue a lifelong habit of learning. The social media wall is still on virtual display at http://www.tintup.com/ucsfgrad, thanks to Jeannine Cuevas, Graduate Division ...","World wide"
"http://www.modernsalon.com/news/Website-Rebel-273561921.html","Website Rebel","Using a program called Tint Up, Blo stylists, clients and fans can tag a photo with #justblo, and post it on their social media, and the image will automatically appear on the website, as well as flash on flat-screen TVs located throughout the salon ...","World wide"
